Date,Low (EUR),High (EUR),Volume (Billion)
2014-09-17,388.18,401.69,21056800
2014-09-18,354.44,391.99,34483200
2014-09-19,329.93,367.08,37919700
2014-09-20,334.52,363.19,36863600
2014-09-21,337.35,353.86,26580100
2014-09-22,340.74,349.13,24127600
2014-09-23,339.94,378.86,45099500
2014-09-24,361.33,374.18,30627700
2014-09-25,351.32,363.38,26814400
2014-09-26,343.21,356.02,21460800
2014-09-27,340.95,348.88,15029300
2014-09-28,321.18,344.07,23613300
2014-09-29,319.38,330.51,32497700
2014-09-30,320.41,335.46,34707300
2014-10-01,326.71,335.8,26229400
2014-10-02,319.99,330.76,21777700
2014-10-03,307.04,324.06,30901200
2014-10-04,279.61,312.73,47236500
2014-10-05,248.22,293.27,83308096
2014-10-06,259.6,296.13,79011800
2014-10-07,274.97,291.07,49199900
2014-10-08,280.73,304.04,54736300
2014-10-09,298.32,328.38,83641104
2014-10-10,302.84,321.81,43665700
2014-10-11,305.41,315.05,13345200
2014-10-12,305.57,325.55,17552800
2014-10-13,316.51,340.82,35221400
2014-10-14,335.76,353.24,38491500
2014-10-15,333.56,345.11,25267100
2014-10-16,320.09,342.18,26990000
2014-10-17,322.08,330.74,13600700
2014-10-18,325.16,339.05,11416800
2014-10-19,331.58,338.0,5914570
2014-10-20,324.54,334.69,16419000
2014-10-21,326.76,336.89,14188900
2014-10-22,327.97,333.4,11641300
2014-10-23,305.83,330.37,26456900
2014-10-24,303.14,312.61,15585700
2014-10-25,294.19,308.76,18127500
2014-10-26,295.09,308.21,11272500
2014-10-27,300.14,307.71,13033000
2014-10-28,302.6,308.87,7845880
2014-10-29,287.72,307.02,18192700
2014-10-30,287.49,301.08,30177900
2014-10-31,289.27,298.62,12545400
2014-11-01,275.47,292.17,16677200
2014-11-02,275.1,282.33,8603620
2014-11-03,279.26,286.57,12948500
2014-11-04,278.92,284.66,15655500
2014-11-05,283.73,294.61,19817200
2014-11-06,290.37,302.85,18797000
2014-11-07,293.24,302.64,16834200
2014-11-08,293.57,297.75,8535470
2014-11-09,295.37,311.99,24205600
2014-11-10,306.79,321.59,30450100
2014-11-11,312.08,318.58,15838900
2014-11-12,315.73,368.7,45783200
2014-11-13,344.16,392.19,58945000
2014-11-14,330.15,359.72,29589200
2014-11-15,318.33,347.94,15727500
2014-11-16,321.41,335.31,11905600
2014-11-17,323.9,351.95,41518800
2014-11-18,318.42,336.68,32222500
2014-11-19,320.8,331.6,18931800
2014-11-20,306.12,327.78,25233200
2014-11-21,295.25,307.06,29850100
2014-11-22,301.05,313.03,15273000
2014-11-23,303.02,318.19,15151600
2014-11-24,314.6,332.23,30930100
2014-11-25,321.56,338.65,25442200
2014-11-26,313.87,324.07,18601700
2014-11-27,315.99,320.89,8748030
2014-11-28,307.55,328.48,22946500
2014-11-29,319.3,332.56,15375600
2014-11-30,320.3,328.21,9194440
2014-12-01,323.18,329.18,11763000
2014-12-02,324.21,329.5,12364100
2014-12-03,321.19,328.64,13340100
2014-12-04,315.54,324.89,14529600
2014-12-05,313.82,325.35,15181800
2014-12-06,318.27,324.71,7009320
2014-12-07,320.27,322.86,6491650
2014-12-08,310.5,322.63,18898700
